video_id,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
brqnui9dV9o,0,"Oh my no brain no parties much to shine that never mind you three is the wizard as you can see you'll fix that 1233 in the body place called the world. The world of ours is a very funny place where everyone wears a funny funny face. All the streets are paved with gold and no one ever grows old in that funny land lives The Wizard of Oz higher Rusty just the greatest invention ever seen really. Can I see it? Can I please Rusty? I won't tell anyone now, right but be careful with it.",0.8940014243125916,0.7000000000000001,6.0,Oh,1
brqnui9dV9o,0,"Oh my no brain no parties much to shine that never mind you three is the wizard as you can see you'll fix that 1233 in the body place called the world. The world of ours is a very funny place where everyone wears a funny funny face. All the streets are paved with gold and no one ever grows old in that funny land lives The Wizard of Oz higher Rusty just the greatest invention ever seen really. Can I see it? Can I please Rusty? I won't tell anyone now, right but be careful with it.",0.8940014243125916,6.0,6.3,my,1
brqnui9dV9o,0,"Oh my no brain no parties much to shine that never mind you three is the wizard as you can see you'll fix that 1233 in the body place called the world. The world of ours is a very funny place where everyone wears a funny funny face. All the streets are paved with gold and no one ever grows old in that funny land lives The Wizard of Oz higher Rusty just the greatest invention ever seen really. Can I see it? Can I please Rusty? I won't tell anyone now, right but be careful with it.",0.8940014243125916,6.3,6.5,no,1
brqnui9dV9o,0,"Oh my no brain no parties much to shine that never mind you three is the wizard as you can see you'll fix that 1233 in the body place called the world. The world of ours is a very funny place where everyone wears a funny funny face. All the streets are paved with gold and no one ever grows old in that funny land lives The Wizard of Oz higher Rusty just the greatest invention ever seen really. Can I see it? Can I please Rusty? I won't tell anyone now, right but be careful with it.",0.8940014243125916,6.5,7.1,brain,1
brqnui9dV9o,0,"Oh my no brain no parties much to shine that never mind you three is the wizard as you can see you'll fix that 1233 in the body place called the world. The world of ours is a very funny place where everyone wears a funny funny face. All the streets are paved with gold and no one ever grows old in that funny land lives The Wizard of Oz higher Rusty just the greatest invention ever seen really. Can I see it? Can I please Rusty? I won't tell anyone now, right but be careful with it.",0.8940014243125916,7.1,7.1,no,1
brqnui9dV9o,0,"Oh my no brain no parties much to shine that never mind you three is the wizard as you can see you'll fix that 1233 in the body place called the world. The world of ours is a very funny place where everyone wears a funny funny face. All the streets are paved with gold and no one ever grows old in that funny land lives The Wizard of Oz higher Rusty just the greatest invention ever seen really. Can I see it? Can I please Rusty? I won't tell anyone now, right but be careful with it.",0.8940014243125916,7.1,8.0,parties,1
brqnui9dV9o,0,"Oh my no brain no parties much to shine that never mind you three is the wizard as you can see you'll fix that 1233 in the body place called the world. The world of ours is a very funny place where everyone wears a funny funny face. All the streets are paved with gold and no one ever grows old in that funny land lives The Wizard of Oz higher Rusty just the greatest invention ever seen really. Can I see it? Can I please Rusty? I won't tell anyone now, right but be careful with it.",0.8940014243125916,8.0,8.3,much,1
brqnui9dV9o,0,"Oh my no brain no parties much to shine that never mind you three is the wizard as you can see you'll fix that 1233 in the body place called the world. The world of ours is a very funny place where everyone wears a funny funny face. All the streets are paved with gold and no one ever grows old in that funny land lives The Wizard of Oz higher Rusty just the greatest invention ever seen really. Can I see it? Can I please Rusty? I won't tell anyone now, right but be careful with it.",0.8940014243125916,8.3,8.5,to,1
brqnui9dV9o,0,"Oh my no brain no parties much to shine that never mind you three is the wizard as you can see you'll fix that 1233 in the body place called the world. The world of ours is a very funny place where everyone wears a funny funny face. All the streets are paved with gold and no one ever grows old in that funny land lives The Wizard of Oz higher Rusty just the greatest invention ever seen really. Can I see it? Can I please Rusty? I won't tell anyone now, right but be careful with it.",0.8940014243125916,8.5,8.8,shine,1
brqnui9dV9o,0,"Oh my no brain no parties much to shine that never mind you three is the wizard as you can see you'll fix that 1233 in the body place called the world. The world of ours is a very funny place where everyone wears a funny funny face. All the streets are paved with gold and no one ever grows old in that funny land lives The Wizard of Oz higher Rusty just the greatest invention ever seen really. Can I see it? Can I please Rusty? I won't tell anyone now, right but be careful with it.",0.8940014243125916,8.8,9.1,that,1
brqnui9dV9o,0,"Oh my no brain no parties much to shine that never mind you three is the wizard as you can see you'll fix that 1233 in the body place called the world. The world of ours is a very funny place where everyone wears a funny funny face. All the streets are paved with gold and no one ever grows old in that funny land lives The Wizard of Oz higher Rusty just the greatest invention ever seen really. Can I see it? Can I please Rusty? I won't tell anyone now, right but be careful with it.",0.8940014243125916,9.1,9.7,never,1
brqnui9dV9o,0,"Oh my no brain no parties much to shine that never mind you three is the wizard as you can see you'll fix that 1233 in the body place called the world. The world of ours is a very funny place where everyone wears a funny funny face. All the streets are paved with gold and no one ever grows old in that funny land lives The Wizard of Oz higher Rusty just the greatest invention ever seen really. Can I see it? Can I please Rusty? I won't tell anyone now, right but be careful with it.",0.8940014243125916,9.7,10.1,mind,1
brqnui9dV9o,0,"Oh my no brain no parties much to shine that never mind you three is the wizard as you can see you'll fix that 1233 in the body place called the world. The world of ours is a very funny place where everyone wears a funny funny face. All the streets are paved with gold and no one ever grows old in that funny land lives The Wizard of Oz higher Rusty just the greatest invention ever seen really. Can I see it? Can I please Rusty? I won't tell anyone now, right but be careful with it.",0.8940014243125916,10.1,10.4,you,1
brqnui9dV9o,0,"Oh my no brain no parties much to shine that never mind you three is the wizard as you can see you'll fix that 1233 in the body place called the world. The world of ours is a very funny place where everyone wears a funny funny face. All the streets are paved with gold and no one ever grows old in that funny land lives The Wizard of Oz higher Rusty just the greatest invention ever seen really. Can I see it? Can I please Rusty? I won't tell anyone now, right but be careful with it.",0.8940014243125916,10.4,10.9,three,1
brqnui9dV9o,0,"Oh my no brain no parties much to shine that never mind you three is the wizard as you can see you'll fix that 1233 in the body place called the world. The world of ours is a very funny place where everyone wears a funny funny face. All the streets are paved with gold and no one ever grows old in that funny land lives The Wizard of Oz higher Rusty just the greatest invention ever seen really. Can I see it? Can I please Rusty? I won't tell anyone now, right but be careful with it.",0.8940014243125916,10.9,11.7,is,1
brqnui9dV9o,0,"Oh my no brain no parties much to shine that never mind you three is the wizard as you can see you'll fix that 1233 in the body place called the world. The world of ours is a very funny place where everyone wears a funny funny face. All the streets are paved with gold and no one ever grows old in that funny land lives The Wizard of Oz higher Rusty just the greatest invention ever seen really. Can I see it? Can I please Rusty? I won't tell anyone now, right but be careful with it.",0.8940014243125916,11.7,11.9,the,1
brqnui9dV9o,0,"Oh my no brain no parties much to shine that never mind you three is the wizard as you can see you'll fix that 1233 in the body place called the world. The world of ours is a very funny place where everyone wears a funny funny face. All the streets are paved with gold and no one ever grows old in that funny land lives The Wizard of Oz higher Rusty just the greatest invention ever seen really. Can I see it? Can I please Rusty? I won't tell anyone now, right but be careful with it.",0.8940014243125916,11.9,12.2,wizard,1
brqnui9dV9o,0,"Oh my no brain no parties much to shine that never mind you three is the wizard as you can see you'll fix that 1233 in the body place called the world. The world of ours is a very funny place where everyone wears a funny funny face. All the streets are paved with gold and no one ever grows old in that funny land lives The Wizard of Oz higher Rusty just the greatest invention ever seen really. Can I see it? Can I please Rusty? I won't tell anyone now, right but be careful with it.",0.8940014243125916,12.2,12.4,as,1
brqnui9dV9o,0,"Oh my no brain no parties much to shine that never mind you three is the wizard as you can see you'll fix that 1233 in the body place called the world. The world of ours is a very funny place where everyone wears a funny funny face. All the streets are paved with gold and no one ever grows old in that funny land lives The Wizard of Oz higher Rusty just the greatest invention ever seen really. Can I see it? Can I please Rusty? I won't tell anyone now, right but be careful with it.",0.8940014243125916,12.4,12.6,you,1
