video_id,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
K0aNijXtgbk,0,"Jim Lovell, and she now needs to see what I'm so violent.",0.8020908832550049,29.1,29.4,Jim,1
K0aNijXtgbk,0,"Jim Lovell, and she now needs to see what I'm so violent.",0.8020908832550049,29.4,30.2,"Lovell,",1
K0aNijXtgbk,0,"Jim Lovell, and she now needs to see what I'm so violent.",0.8020908832550049,30.2,30.5,and,1
K0aNijXtgbk,0,"Jim Lovell, and she now needs to see what I'm so violent.",0.8020908832550049,30.5,30.8,she,1
K0aNijXtgbk,0,"Jim Lovell, and she now needs to see what I'm so violent.",0.8020908832550049,32.8,33.1,now,1
K0aNijXtgbk,0,"Jim Lovell, and she now needs to see what I'm so violent.",0.8020908832550049,33.1,33.6,needs,1
K0aNijXtgbk,0,"Jim Lovell, and she now needs to see what I'm so violent.",0.8020908832550049,33.7,33.7,to,1
K0aNijXtgbk,0,"Jim Lovell, and she now needs to see what I'm so violent.",0.8020908832550049,33.7,34.0,see,1
K0aNijXtgbk,0,"Jim Lovell, and she now needs to see what I'm so violent.",0.8020908832550049,34.0,34.2,what,1
K0aNijXtgbk,0,"Jim Lovell, and she now needs to see what I'm so violent.",0.8020908832550049,34.2,34.4,I'm,1
K0aNijXtgbk,0,"Jim Lovell, and she now needs to see what I'm so violent.",0.8020908832550049,34.4,34.8,so,1
K0aNijXtgbk,0,"Jim Lovell, and she now needs to see what I'm so violent.",0.8020908832550049,34.8,35.4,violent.,1
K0aNijXtgbk,0,Another cell photo don't nobody mess with abundance.,0.7404585480690002,64.5,65.1,Another,2
K0aNijXtgbk,0,Another cell photo don't nobody mess with abundance.,0.7404585480690002,65.1,65.4,cell,2
K0aNijXtgbk,0,Another cell photo don't nobody mess with abundance.,0.7404585480690002,65.4,65.7,photo,2
K0aNijXtgbk,0,Another cell photo don't nobody mess with abundance.,0.7404585480690002,65.7,66.1,don't,2
K0aNijXtgbk,0,Another cell photo don't nobody mess with abundance.,0.7404585480690002,66.1,67.2,nobody,2
K0aNijXtgbk,0,Another cell photo don't nobody mess with abundance.,0.7404585480690002,71.1,71.4,mess,2
K0aNijXtgbk,0,Another cell photo don't nobody mess with abundance.,0.7404585480690002,71.4,71.8,with,2
K0aNijXtgbk,0,Another cell photo don't nobody mess with abundance.,0.7404585480690002,71.8,72.7,abundance.,2
K0aNijXtgbk,0,"Burning those are simply no other but the cable and my voidling the pendant. Thanks sir, but are going inside a spoolie is forlorn. Hope I'll see his my for a potential lead on the bus. I'm Lara Spencer Beyonce Neal intelligence.",0.6767184734344482,125.9,126.9,Burning,3
