video_id,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
gzptBqDuLNY,0,"What are vaccines and how do they work when viruses or bacteria enter the body? Our immune cells also called lymphocytes produce antibodies to neutralize the effect of these foreign Invaders a healthy individual can produce millions of antibodies a day which work quite efficiently to keep us healthy and prevent us from becoming sick. However, there is one problem with all of this a human body can take up to several days to produce an antibody response to defend itself from antigens or outside Invaders such as viruses and bacteria which attack the body in most cases. This will not be a serious issue except for some nasty bacteria or viruses like whooping cough or measles in this case a few days is too long these bacteria and viruses can spread and kill the person before their immune system can fight back.",0.9115727543830872,1.3,1.5,What,1
gzptBqDuLNY,0,"What are vaccines and how do they work when viruses or bacteria enter the body? Our immune cells also called lymphocytes produce antibodies to neutralize the effect of these foreign Invaders a healthy individual can produce millions of antibodies a day which work quite efficiently to keep us healthy and prevent us from becoming sick. However, there is one problem with all of this a human body can take up to several days to produce an antibody response to defend itself from antigens or outside Invaders such as viruses and bacteria which attack the body in most cases. This will not be a serious issue except for some nasty bacteria or viruses like whooping cough or measles in this case a few days is too long these bacteria and viruses can spread and kill the person before their immune system can fight back.",0.9115727543830872,1.5,1.6,are,1
gzptBqDuLNY,0,"What are vaccines and how do they work when viruses or bacteria enter the body? Our immune cells also called lymphocytes produce antibodies to neutralize the effect of these foreign Invaders a healthy individual can produce millions of antibodies a day which work quite efficiently to keep us healthy and prevent us from becoming sick. However, there is one problem with all of this a human body can take up to several days to produce an antibody response to defend itself from antigens or outside Invaders such as viruses and bacteria which attack the body in most cases. This will not be a serious issue except for some nasty bacteria or viruses like whooping cough or measles in this case a few days is too long these bacteria and viruses can spread and kill the person before their immune system can fight back.",0.9115727543830872,1.6,2.5,vaccines,1
gzptBqDuLNY,0,"What are vaccines and how do they work when viruses or bacteria enter the body? Our immune cells also called lymphocytes produce antibodies to neutralize the effect of these foreign Invaders a healthy individual can produce millions of antibodies a day which work quite efficiently to keep us healthy and prevent us from becoming sick. However, there is one problem with all of this a human body can take up to several days to produce an antibody response to defend itself from antigens or outside Invaders such as viruses and bacteria which attack the body in most cases. This will not be a serious issue except for some nasty bacteria or viruses like whooping cough or measles in this case a few days is too long these bacteria and viruses can spread and kill the person before their immune system can fight back.",0.9115727543830872,2.5,2.7,and,1
gzptBqDuLNY,0,"What are vaccines and how do they work when viruses or bacteria enter the body? Our immune cells also called lymphocytes produce antibodies to neutralize the effect of these foreign Invaders a healthy individual can produce millions of antibodies a day which work quite efficiently to keep us healthy and prevent us from becoming sick. However, there is one problem with all of this a human body can take up to several days to produce an antibody response to defend itself from antigens or outside Invaders such as viruses and bacteria which attack the body in most cases. This will not be a serious issue except for some nasty bacteria or viruses like whooping cough or measles in this case a few days is too long these bacteria and viruses can spread and kill the person before their immune system can fight back.",0.9115727543830872,2.7,3.0,how,1
gzptBqDuLNY,0,"What are vaccines and how do they work when viruses or bacteria enter the body? Our immune cells also called lymphocytes produce antibodies to neutralize the effect of these foreign Invaders a healthy individual can produce millions of antibodies a day which work quite efficiently to keep us healthy and prevent us from becoming sick. However, there is one problem with all of this a human body can take up to several days to produce an antibody response to defend itself from antigens or outside Invaders such as viruses and bacteria which attack the body in most cases. This will not be a serious issue except for some nasty bacteria or viruses like whooping cough or measles in this case a few days is too long these bacteria and viruses can spread and kill the person before their immune system can fight back.",0.9115727543830872,3.0,3.1,do,1
gzptBqDuLNY,0,"What are vaccines and how do they work when viruses or bacteria enter the body? Our immune cells also called lymphocytes produce antibodies to neutralize the effect of these foreign Invaders a healthy individual can produce millions of antibodies a day which work quite efficiently to keep us healthy and prevent us from becoming sick. However, there is one problem with all of this a human body can take up to several days to produce an antibody response to defend itself from antigens or outside Invaders such as viruses and bacteria which attack the body in most cases. This will not be a serious issue except for some nasty bacteria or viruses like whooping cough or measles in this case a few days is too long these bacteria and viruses can spread and kill the person before their immune system can fight back.",0.9115727543830872,3.1,3.2,they,1
gzptBqDuLNY,0,"What are vaccines and how do they work when viruses or bacteria enter the body? Our immune cells also called lymphocytes produce antibodies to neutralize the effect of these foreign Invaders a healthy individual can produce millions of antibodies a day which work quite efficiently to keep us healthy and prevent us from becoming sick. However, there is one problem with all of this a human body can take up to several days to produce an antibody response to defend itself from antigens or outside Invaders such as viruses and bacteria which attack the body in most cases. This will not be a serious issue except for some nasty bacteria or viruses like whooping cough or measles in this case a few days is too long these bacteria and viruses can spread and kill the person before their immune system can fight back.",0.9115727543830872,3.2,3.8,work,1
gzptBqDuLNY,0,"What are vaccines and how do they work when viruses or bacteria enter the body? Our immune cells also called lymphocytes produce antibodies to neutralize the effect of these foreign Invaders a healthy individual can produce millions of antibodies a day which work quite efficiently to keep us healthy and prevent us from becoming sick. However, there is one problem with all of this a human body can take up to several days to produce an antibody response to defend itself from antigens or outside Invaders such as viruses and bacteria which attack the body in most cases. This will not be a serious issue except for some nasty bacteria or viruses like whooping cough or measles in this case a few days is too long these bacteria and viruses can spread and kill the person before their immune system can fight back.",0.9115727543830872,4.4,4.7,when,1
gzptBqDuLNY,0,"What are vaccines and how do they work when viruses or bacteria enter the body? Our immune cells also called lymphocytes produce antibodies to neutralize the effect of these foreign Invaders a healthy individual can produce millions of antibodies a day which work quite efficiently to keep us healthy and prevent us from becoming sick. However, there is one problem with all of this a human body can take up to several days to produce an antibody response to defend itself from antigens or outside Invaders such as viruses and bacteria which attack the body in most cases. This will not be a serious issue except for some nasty bacteria or viruses like whooping cough or measles in this case a few days is too long these bacteria and viruses can spread and kill the person before their immune system can fight back.",0.9115727543830872,4.7,5.3,viruses,1
